x,y
1.501592357,0
1.458598726,0
1.372611465,0
1.222133758,0.058174098
1.171974522,0.126326964
1.121815287,0.19447983
1.064490446,0.262845011
0.97133758,0.332271762
0.892515924,0.467940552
0.792197452,0.604246285
0.756369427,0.605307856
0.713375796,0.606581741
0.656050955,0.741613588
0.59156051,1.076857749
0.534235669,1.611889597
0.491242038,2.146496815
0.455414013,2.68089172
0.405254777,3.549044586
0.383757962,4.016348195
0.347929936,4.817409766
0.333598726,5.217834395
0.319267516,5.618259023
0.297770701,6.285562633
0.276273885,7.019532909
0.261942675,7.619957537
0.233280255,8.887473461
0.218949045,9.554564756
0.204617834,10.22165605
0.190286624,10.95541401
0.154458599,12.55647558
0.140127389,13.09023355
0.111464968,14.02441614
0.082802548,14.62526539
0.032643312,14.82675159
-0.003184713,14.49447983
-0.017515924,14.22823779
-0.046178344,13.49575372
-0.067675159,12.82972399
-0.089171975,12.0970276
-0.11066879,11.23099788
-0.125,10.69808917
-0.146496815,9.898726115
-0.167993631,9.166029724
-0.189490446,8.433333333
-0.210987261,7.833970276
-0.239649682,7.1014862
-0.275477707,6.302547771
-0.296974522,5.836518047
-0.325636943,5.370700637
-0.375796178,4.70552017
-0.433121019,4.17388535
-0.483280255,3.642038217
-0.53343949,3.110191083
-0.583598726,2.445010616
-0.633757962,1.979830149
-0.705414013,1.581953291
-0.777070064,1.384076433
-0.85589172,1.119745223
-0.913216561,0.921443737
-0.984872611,0.590233546
-1.149681529,0.061783439
-1.257165605,0.064968153
-1.328821656,0.267091295
-1.386146497,0.402123142
-1.421974522,0.403184713
-1.464968153,0.337791932
-1.493630573,0.271974522
-1.579617834,0.14118896
-1.65843949,0.143524416
-1.758757962,0.213163482
-1.844745223,0.215711253
-1.909235669,0.150955414
-1.973726115,0.086199575
-2.052547771,0.088535032
-2.124203822,0.090658174
-2.281847134,0.095329087
-2.36066879,0.097664544
-2.446656051,0.033545648
-2.525477707,0.035881104
-2.905254777,0.047133758
-2.984076433,0.049469214
-3.299363057,0.05881104
-3.492834395,0.064543524